City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
365,vadlapudi,80,IN,1531692808,63,14.32,79.8,83.1,16.35
366,shancheng,92,CN,1531692808,85,26.9,117.17,73.92,2.04
367,tallahassee,20,US,1531690500,88,30.44,-84.28,89.6,4.83
368,sao miguel do araguaia,0,BR,1531692809,75,-13.28,-50.16,78.78,4.05
369,rudsar,0,IR,1531688400,88,37.14,50.29,78.8,4.72
370,faya,40,SA,1531688400,36,18.39,42.45,77.0,2.93
371,kamaishi,76,JP,1531692810,85,39.28,141.86,74.1,3.6
372,haines junction,92,CA,1531692810,77,60.75,-137.51,45.48,2.82
373,zavyalovo,0,RU,1531690200,82,54.51,82.45,60.8,6.71
374,timiryazevskoye,0,RU,1531692811,52,56.49,84.88,62.85,7.29
375,khachrod,92,IN,1531692812,99,23.42,75.28,73.11,5.84
376,praya,75,ID,1531692000,94,-8.71,116.27,71.6,3.36
377,yeppoon,0,AU,1531692000,81,-23.13,150.74,51.8,2.24
378,rongcheng,0,CN,1531692812,90,37.16,122.42,74.55,12.66
379,loule,0,PT,1531692000,88,37.14,-8.02,66.2,10.29
380,zhigansk,0,RU,1531692813,55,66.77,123.37,54.57,11.54
381,sangmelima,64,CM,1531692813,82,2.93,11.98,73.56,2.82
382,whitehorse,90,CA,1531688400,87,60.72,-135.06,48.2,14.99
383,verkhniy mamon,56,RU,1531692814,69,50.17,40.4,70.05,2.59
